总字数:26954, 共2624个单词
  序号  单词                 次数   万分比   翻译                  
   395  reserve                 9        3   n. 预备品,贮存,预备舍;v. 保留,预订,延期; 
   396  scent                   9        3   n. 气味,香味,痕迹;v. 闻出,循著遗臭追踪,发觉; 
   397  settled                 9        3   a. 固定的,决定的,不变的;v. 决定,定居;vbl. 决定,定居; 
   398  carried                 9        3   a. 被运的,入神的,忘我的;v. 搬运,保持;vbl. 搬挥,保持; 
   399  working                 8        2   n. 工作,作用,劳动;a. 工作的,劳动的;vbl. 工作; 
   400  beautiful               8        2   a. 美丽的;              
   401  moment                  8        2   n. 片刻,瞬间,力率;         
   402  anything                8        2   int. 任何事;            
   403  beat                    8        2   n. 打,敲打声,拍子;v. 打,打败; 
   404  fathoms                 8        2                        
   405  mine                    8        2   n. 矿,富源,地雷;v. 挖掘,埋设地雷;pron. 我的; 
   406  later                   8        2   a. 更迟的,更后的;ad. 稍后,随后; 
   407  talk                    8        2   n. 谈话,会谈;v. 说话,谈话,讨论; 
   408  passed                  8        2                        
   409  stripes                 8        2                        
   410  above                   8        2   a. 上述的;ad. 在上面;prep. 在...上方; 
   411  male                    8        2   n. 男人,雄性动物;a. 男性的,属于雄性的,有力的; 
   412  father                  8        2   n. 父亲,神父,创始者;        
   413  toward                  8        2   prep. 向,对于,为了;       
   414  alongside               8        2   ad. 靠,横靠;prep. 靠,横靠; 
   415  clouds                  8        2   n. 云;                
   416  swimming                8        2   n. 游水,目眩;vbl. 游泳,泡;  
   417  turtles                 8        2                        
   418  silver                  8        2   n. 银,银币,银器;a. 银的,银制的,银器;v. 镀以银,变为银白 
   419  ate                     8        2   v. 吃;                
   420  along                   8        2   ad. 向前;prep. 沿著;     
   421  lucky                   8        2   a. 幸运的,吉祥的,好运的;      
   422  sin                     8        2   n. 罪,犯罪,犯法;v. 犯;     
   423  kept                    8        2   v. 保持,继续;vbl. 保持,继续; 
   424  alive                   8        2   a. 活著的,活泼的,敏感的;      
   425  break                   8        2   n. 休息,中断;v. 打破,弄破,弄坏;n.[计算机] DOS命令: 
   426  breaking                8        2                        
   427  weather                 8        2   n. 天气,气候,气象;         
   428  place                   8        2   n. 地方,处境,职务;v. 放置,任命,安排; 
   429  cord                    8        2   n. 绳索,束缚;            
   430  dimaggio                8        2                        
   431  ready                   8        2   n. 预备好的状态,现款;a. 准备好的,备用的,可以使用的;ad.  
   432  these                   7        2   a. pron. 这些;         
   433  legs                    7        2                        
   434  ahead                   7        2   ad. 向前地,胜于,在...前面;   
   435  lights                  7        2                        
   436  rowed                   7        2                        
   437  wake                    7        2   v. 叫醒,醒来,生醒;         
   438  rising                  7        2   n. 上升,造反,叛乱;a. 上升的,高涨的,晋升的;vbl. 升起, 
   439  caught                  7        2   v. 捕捉,赶上,感染;vbl. 捕捉,赶上,感染; 
   440  anyway                  7        2   ad. 无论如何,总之;         
   441  found                   7        2   v. 建立,找到,基于;vbl. 找到; 
   442  done                    7        2   a. 完成了,好了;vbl. 做;    
   443  east                    7        2   n. 东方,东;a. 东方的,向东的;ad. 向东方,朝东方; 
   444  comes                   7        2                        
   445  brown                   7        2                        
   446  blanket                 7        2   n. 毛毯;               
   447  fear                    7        2   n. 恐怖,害怕,担心;v. 害怕,恐惧,敬畏; 
   448  heart                   7        2   n. 心,心脏,中心;          
   449  true                    7        2   a. 真实的,正确的;          
   450  glow                    7        2   n. 赤热,光辉,热情;v. 发红光,红光焕发; 
   451  hour                    7        2   n. 小时,钟头;            
   452  men                     7        2   n. 男人,人类,男子;         
   453  believe                 7        2   v. 相信;               
   454  slept                   7        2   v. 睡,就寝,永眠;vbl. 睡,就寝,永眠; 
   455  speed                   7        2   n. 速度,迅速,超速;v. 加速,超速,推进; 
   456  birds                   7        2                        
   457  wings                   7        2                        
   458  cutting                 7        2   n. 切断,切下,开凿;vbl. 切;  
   459  holding                 7        2   n. 把持,支持,保持;vbl. 握住,把持,举行; 
   460  need                    7        2   n. 需要,必须,缺乏;v. 需要,必需;conj. 需要; 
   461  end                     7        2   n. 结束,终点,目标;v. 结束,终结,终止; 
   462  new                     7        2   a. 新的,陌生的,最近的;       
   463  below                   7        2   ad. 在...下面;prep. 在...下面; 
   464  those                   7        2   a. pron. 那些;         
   465  lifted                  7        2                        
   466  nearly                  7        2   ad. 几乎,密切地,吝啬地;      
